d_date,date,delay,distance,origin,destination
2014-11-20,1120035,2,1259,ANC,SEA
2014-11-20,1120135,22,1259,ANC,SEA
2014-11-20,1120047,32,1259,ANC,SEA
2014-11-20,1120056,0,1413,DEN,JFK
2014-11-20,1120120,-7,1332,FAI,SEA
2014-11-20,1120025,-9,1316,LAS,ORD
2014-11-20,1120110,-6,1520,LAS,DTW
2014-11-20,1120145,-3,2400,LAS,HNL
2014-11-20,1120037,-4,1061,LAS,IAH
2014-11-20,1120005,2,2024,LAX,PBI
2014-11-20,1120015,1,1073,LAX,DFW
2014-11-20,1120120,-9,1073,LAX,DFW
2014-11-20,1120025,9,1198,LAX,IAH
2014-11-20,1120035,8,1846,LAX,CLT
2014-11-20,1120040,-8,1379,PHX,ATL
2014-11-20,1120020,-1,1273,SFO,DFW
2014-11-20,1120030,44,1421,SFO,IAH
2014-11-20,1120149,0,1397,SJU,EWR
2014-11-20,1120045,-6,1382,SLC,ATL
